	hydroxyurea_r	hydroxyurea_k	NaCl_r	NaCl_k	allantoin_r	allantoin_k	caffeine_r	caffeine_k	galactose_r	galactose_k	glycine_r	glycine_k	isoleucine_r	isoleucine_k	phleomycin_r	phleomycin_k	rapamycin_r	rapamycin_k
290-4	0.121702365	1649691.506	0.096358314	2676750.86	0.137449181	1398031.328	0.048038075	399957.8219	0.10871633	5406221.055	0.113055585	1246153.631	0.108838981	1416672.243	0.105118614	3847829.4	0.098073468	2470459.132
290-40	0.128197404	958929.1998	0.09311216	1223425.206	0.139728333	1279220.218	0.057667595	588565.4622	0.118687876	3894998.727	0.126926623	977698.6364	0.120169896	1104212.391	0.112169108	3406061.248	0.137328014	796418.0734
290-41	0.132504731	848877.5714	0.080474645	1271690.872	0.14277165	784939.6393	-1	-1	-1	-1	0.111249393	407451.8399	0.133479345	780910.7479	0.110685322	3241437.204	0.131524754	842972.561
290-42	0.1395578	1737354.212	0.081244514	1495319.093	0.142385494	1317387.29	0.069249608	1178099.421	0.116382384	5182328.877	0.118680318	1142616.424	0.114928511	1321515.417	0.114455712	3812238.603	0.138482912	1617853.15
290-43	0.158563339	1016738.423	0.087899327	1513103.816	0.141949986	1080903.489	0.055383127	698983.6286	0.124110598	3809785.515	0.112941919	854482.5606	0.120245233	1017828.903	0.120328745	2617401.711	0.122417732	1129757.799
290-44	0.121467146	1336601.81	0.076938809	1614460.452	0.138909092	1572958.627	0.041701895	1610342.906	0.112037686	5950404.555	0.117078911	1252918.086	0.113301174	1580084.882	0.109188513	4390395.61	0.143794002	1726167.158
290-46	0.134852584	1465542.611	0.076415908	1113403.719	0.141077076	1628582.079	0.049455297	1204458.038	0.119705876	5945526.564	0.118997964	1321494.814	0.113881304	1505336.059	0.114474933	4292257.534	0.124856546	1179731.347
290-5	0.1403166	1460381.135	0.090188825	1549287.338	0.145114539	1221862.158	0.04918366	916096.2153	0.120833008	5045410.65	0.12187649	1255069.036	0.118715246	1472559.972	0.113363666	3621901.883	0.095798728	1783219.217
290-51	0.144139735	941268.8964	0.076465898	1092788.192	0.152149245	986129.4187	0.064424662	418602.0923	0.115919196	3750330.498	0.130338775	726737.6772	0.120015965	775659.122	0.116532866	3114433.253	0.146415845	969327.383
290-52	0.131398137	1692566.671	0.087780904	2015544.901	0.133345879	1131756.218	0.069330675	1088024.713	0.111099363	4380523.385	0.118288153	886767.4967	0.116720025	1275838.268	0.108240196	3511258.269	0.131225774	1188441.791
290-53	0.136701421	771636.3962	0.09657978	1668031.298	0.134821869	882132.5757	0.083031273	491237.84	0.11793422	4485647.78	0.129572278	822947.2027	0.129423756	1044760.357	0.109854107	3343925.75	0.109584131	1219486.318
290-55	0.142082425	1439670.283	0.09055527	1371595.97	0.130092472	1416663.874	0.04596145	703808.7579	0.128528567	4661665.007	0.123952039	1221939.365	0.125507448	1351389.016	0.117645447	3289734.487	0.113628252	1614350.524
290-56	0.135707275	1397593.943	0.088812375	1489728.376	0.113036592	1912707.414	0.057611415	937081.1104	0.114391446	5354657.379	0.113902623	1516597.687	0.106569915	1469885.128	0.111753498	3611426.928	0.113081438	1917355.157
290-57	0.138504048	1564871.445	0.091022225	1414133.823	0.129082371	1322717.838	0.057728319	809330.9155	0.120905473	4731463.654	0.122198032	1087722.303	0.118008537	1094949.506	0.110842741	3709597.728	0.113515136	1759655.267
290-59	0.139180789	1357299.681	0.106266095	1559921.302	0.125136403	1230736.901	0.061160711	787787.4211	0.1157749	4180215.446	0.118992486	718073.7485	0.121041525	1177695.422	0.1107856	3572292.183	0.11665532	1476004.765
290-6	0.123770261	2098788.94	0.089600905	1907799.288	0.124917173	1880750.711	0.04000943	386833.5111	0.108875103	5759738.313	0.107640517	1571560.344	0.103697195	1825615.363	0.108322135	4342444.74	0.094731688	2212435.183
290-60	0.11951129	2204231.838	0.09119406	1591124.008	0.110068167	1908615.064	0.069929102	990698.6849	0.10514328	6044659.587	0.117338495	1163899.501	0.108327239	1409113.883	0.107885329	5087507.339	0.113313313	1846677.964
290-61	0.140012458	1755357.803	0.098484067	1699937.664	0.130406089	1203109.332	0.049290922	674192.6524	0.122090129	4612999.757	0.121632295	1016824.671	0.120144279	1051527.88	0.11228516	3508707.555	0.11785431	2060102.347
290-62	0.132068597	1409720.638	0.09006055	1609204.664	0.119919044	1679337.601	0.047575342	599249.9761	0.113465832	5457783.295	0.117960957	1343756.397	0.116424556	1692924.22	0.110309413	4189047.051	0.111842377	1706666.337
290-63	0.141385295	914085.0392	0.107268786	1789901.003	0.124562061	1087603.791	0.048837309	435575.9083	0.120852923	4163165.424	0.115912015	905758.6901	0.121991784	1047702.664	0.113829373	2947247.633	0.114372521	1227196.687
290-64	0.119021768	953875.367	0.084077276	990714.8862	0.114066479	1265778.235	0.045014916	435820.7079	0.10909506	4432084.067	0.119355521	958790.0919	0.116322532	1172363.182	0.106078461	3926934.819	0.109718588	1096655.314
290-65	0.157489867	983683.6265	0.09286222	1371892.13	0.132219698	907709.9644	0.059334973	355760.6761	0.129481944	3843619.013	0.1223913	745421.1516	0.127846693	1009437.22	0.117523553	2773254.715	0.109642036	1447436.823
